"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978944","Classroom-based assistive technology: collective use of interactive visual schedules by students with autism","7 ","54","487","1,581","assistive technology; computer uses in education; education; measurement; visual schedules","10","81435594269, Meg Cramer, University of California, Irvine, Irvine, California, USA; 81430663071, Sen H. Hirano, University of California, Irvine, Irvine, California, USA; 81338491710, Monica Tentori, University of California, Irvine, Irvine, California, USA; 81460657929, Michael T. Yeganyan, University of California, Irvine, Irvine, California, USA; 81100592620, Gillian R. Hayes, University of California, Irvine, Irvine, California, USA; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978945","Privacy risks emerging from the adoption of innocuous wearable sensors in the mobile environment","8 ","15","184","774","design; information disclosure; mobile health; privacy; sensors; wearable sensors","10","81100090223, Andrew Raij, University of South Florida, Tampa, Florida, USA; 81484652533, Animikh Ghosh, University of Memphis, Memphis, Tennessee, USA; 81327489862, Santosh Kumar, University of California, Los Angeles, Los Angeles, California, USA; 81328490497, Mani Srivastava; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978946","Interaction design for cancer patients: do we need to take into account the effects of illness and medication?","1 ","4","105","523","cancer patients; health; measurement; patient-centred information systems; user interfaces","4","81488654860, Anita Das, Norwegian University of Science and Technology, Trondheim, Norway; 81484658593, Arild Faxvaag, Norwegian University of Science and Technology, Trondheim, Norway; 81100085970, Dag Svan&#230;s, Norwegian University of Science and Technology, Trondheim, Norway; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978947","Simulating the feel of brain-computer interfaces for design, development and social interaction","0 ","5","118","561","brain-computer interaction; cognitive simulation; disability; hci; human factors; motor imagery; simulation; social interaction; user interfaces","4","81484656225, Melissa Quek, University of Glasgow, Glasgow, United Kingdom; 81484650735, Daniel Boland, University of Glasgow, Glasgow, United Kingdom; 81100169940, John Williamson, University of Glasgow, Glasgow, United Kingdom; 81100572841, Roderick Murray-Smith, University of Glasgow, Glasgow, United Kingdom; 81484647374, Michele Tavella, &#201;cole Polytechnique F&#233;d&#233;rale de Lausanne, Lausanne, Switzerland; 81484658865, Serafeim Perdikis, &#201;cole Polytechnique F&#233;d&#233;rale de Lausanne, Lausanne, Switzerland; 81484657847, Martijn Schreuder, Technische Universit&#228;t Berlin, Berlin, Germany; 81343506546, Michael Tangermann, Technische Universit&#228;t Berlin, Berlin, Germany; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978948","Characterizing patient-friendly ""micro-explanations""of medical events","2 ","4","98","437","design; experimentation; measurement; performance; web-based interaction","4","81416600696, Lauren Wilcox, Mixrosoft Research, Cambridge, MA, and Columbia University, New York, New York, USA; 81405594249, Dan Morris, Microsoft Research, Cambridge, MA, USA; 81100255664, Desney Tan, Microsoft Research, Cambridge, MA, USA; 81460653732, Justin Gatewood, Microsoft Research, Redmond, Washington, USA; 81100323543, Eric Horvitz; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978950","""Now, i have a body"": uses and social norms for mobile remote presence in the workplace","15 ","13","154","781","computer supported collaborative work; design; human-robot interaction; mobile remote presence","10","81414592368, Min Kyung Lee, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA; 81100499212, Leila Takayama; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978951","Hands on hitchcock: embodied reference to a moving scene","4 ","9","99","563","artificial, augmented, and virtual realities; design; experimentation; interaction analysis; media spaces; virtual reality","10","81100229533, Paul Luff, King's College, London, London, United Kingdom; 81309484665, Naomi Yamashita, NTT Communication Science Laboratories, Kyoto, Japan; 81100072975, Hideaki Kuzuoka, University of Tsukuba, Tsukuba, Japan; 81100164455, Christian Heath, King's College, London, London, United Kingdom; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978952","Exploring camera viewpoint control models for a multi-tasking setting in teleoperation","3 ","17","241","921","algorithms; data mining; dual manual control; measurement; natural interaction; remote camera control","10","81385600519, Dingyun Zhu, ANU, Canberra, Australia; 81100518865, Tom Gedeon, CSIRO, Canberra, Australia; 81405592445, Ken Taylor; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978953","Zoom cameras and movable displays enhance social telepresence","5 ","18","156","680","computer conferencing, teleconferencing, and videoconferencing; experimentation; image displays; performance; telerobotics; web-based interaction","10","81100225472, Hideyuki Nakanishi, Osaka University, Suita, Japan; 81416595987, Kei Kato, Osaka University, Suita, Japan; 81100572813, Hiroshi Ishiguro, Osaka University, Toyonaka, Japan; "
"CHI","11","http://dx.doi.org/10.1145/1978942.1978955","Breath control of amusement rides","13 ","11","100","437","affective computing; biosensing; breathing; design; measurement; themepark; user interfaces","10","81331498971, Joe Marshall, University of Nottingham, Nottingham, United Kingdom; 81311485174, Duncan Rowland, University of Nottingham &#38; University of Lincoln, Nottingham, United Kingdom; 81416605898, Stefan Rennick Egglestone, University of Nottingham, Nottingham, United Kingdom; 81100619971, Steve Benford, University of Nottingham, Nottingham, United Kingdom; 81100423582, Brendan Walker, University of Nottingham, Nottingham, United Kingdom; 81100478505, Derek McAuley, University of Nottingham, Nottingham, United Kingdom; "
