"""conference""","""year""","""doi""","""title""","""citationCount""","""download6weeks""","""download12months""","""downloadAll""","""keywords""","""pageNumber""","""authors"""
CHI,2,http://dx.doi.org/10.1145/503376.503394,"""I'd be overwhelmed, but it's just one more thing to do"": availability and interruption in research management",85,6,79,"1,715",attention economy; cscw; human factors; information filtering; managers; social translucence; time management,8,"81100566859, James M. Hudson, Georgia Institute of Technology, Atlanta, GA; 81100285123, Jim Christensen, IBM T.J. Watson Research Center, Hawthorne, NY; 81100457150, Wendy A. Kellogg, IBM T.J. Watson Research Center, Hawthorne, NY; 81100235869, Thomas Erickson, IBM T.J. Watson Research Center, Hawthorne, NY; "
CHI,2,http://dx.doi.org/10.1145/503376.503396,Comparing voodoo dolls and HOMER: exploring the importance of feedback in virtual environments,7,7,44,982,"3d interaction; artificial, augmented, and virtual realities; human factors; object manipulation; theory",8,"81100303065, Jeffrey S. Pierce, Carnegie Mellon University, Pittsburgh, PA; 81100493478, Randy Pausch, Carnegie Mellon University, Pittsburgh, PA; "
CHI,2,http://dx.doi.org/10.1145/503376.503397,SmartSkin: an infrastructure for freehand manipulation on interactive surfaces,222,34,303,"4,046",augmented tables; gesture recognition; interaction techniques; interactive surfaces; performance; touch-sensitive interfaces; user interfaces,8,"81100008564, Jun Rekimoto, Sony Computer Science Laboratories, Inc., Tokyo, Japan; "
CHI,2,http://dx.doi.org/10.1145/503376.503398,Creating principal 3D curves with digital tape drawing,32,5,39,893,"3d modeling; curve, surface, solid, and object representations; experimentation; interaction techniques; performance; tape drawing",8,"81100477897, Tovi Grossman, Alias/wavefront, Toronto, Ontario, Canada and University of Toronto Toronto, Ontario, Canada; 81100503904, Ravin Balakrishnan, Alias/wavefront, Toronto, Ontario, Canada and University of Toronto Toronto, Ontario, Canada; 81332510496, Gordon Kurtenbach, Alias/wavefront, Toronto, Ontario, Canada and University of Toronto Toronto, Ontario, Canada; 81100585120, George Fitzmaurice, Alias/wavefront, Toronto, Ontario, Canada and University of Toronto Toronto, Ontario, Canada; 81100345201, Azam Khan, Alias/wavefront, Toronto, Ontario, Canada and University of Toronto Toronto, Ontario, Canada; 81452616426, Bill Buxton; "
CHI,2,http://dx.doi.org/10.1145/503376.503400,Adaptive testing: effects on user performance,2,0,35,"1,576",adaptive software; cmc; human factors; intelligent interfaces; performance monitoring; testing tools; user interfaces,6,"81100250252, Eva Jettmar, Stanford University, Stanford, CA; 81100153283, Clifford Nass, Stanford University, Stanford, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503401,Effects of four computer-mediated communications channels on trust development,75,31,288,"3,759","artificial, augmented, and virtual realities; computer conferencing, teleconferencing, and videoconferencing; human factors; media; social dilemmas; trust",6,"81100632322, Nathan Bos, University of Michigan, Ann Arbor, MI; 81350567367, Judy Olson, University of Michigan, Ann Arbor, MI; 81100246470, Darren Gergle, University of Michigan, Ann Arbor, MI; 81100178543, Gary Olson, University of Michigan, Ann Arbor, MI; 81416597588, Zach Wright, University of Michigan, Ann Arbor, MI; "
CHI,2,http://dx.doi.org/10.1145/503376.503402,Trust without touch: jumpstarting long-distance trust with initial social activities,40,13,80,"1,398",cmc; consumer products; cscw; human factors; measurement; text chat; trust,6,"81100581049, Jun Zheng, University of Michigan, Ann Arbor, MI; 81310499626, Elizabeth Veinott, University of Michigan, Ann Arbor, MI; 81100632322, Nathan Bos, University of Michigan, Ann Arbor, MI; 81350567367, Judith S. Olson, University of Michigan, Ann Arbor, MI; 81100178543, Gary M. Olson, University of Michigan, Ann Arbor, MI; "
CHI,2,http://dx.doi.org/10.1145/503376.503404,Automating CPM-GOMS,16,2,45,"1,513",apex; goms; human factors; performance; theory; user interfaces,8,"81100482886, Bonnie John, Carnegie Mellon University, Pittsburgh, PA; 81100219909, Alonso Vera, NASA Ames Research Center, Moffett Field, CA; 81100048363, Michael Matessa, NASA Ames Research Center, Moffett Field, CA; 81100402556, Michael Freed, NASA Ames Research Center, Moffett Field, CA; 81100413393, Roger Remington, NASA Ames Research Center, Moffett Field, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503405,Investigating human-computer optimization,20,2,35,800,design; human factors; interactive optimization; performance; tabletop interfaces; training systems; user study,8,"81100544371, Stacey D. Scott, Mitsubishi Electric Research Laboratories, Cambridge, MA; 81100469781, Neal Lesh, Mitsubishi Electric Research Laboratories, Cambridge, MA; 81100421259, Gunnar W. Klau, Mitsubishi Electric Research Laboratories, Cambridge, MA; "
CHI,2,http://dx.doi.org/10.1145/503376.503406,An evaluation of a multiple interface design solution for bloated software,47,5,102,"1,905",adaptive/adaptable interfaces; design; field study; human factors; performance; synchronous interaction; user-centered design,7,"81100232506, Joanna McGrenere, University of Toronto, Toronto ON, Canada; 81100448368, Ronald M. Baecker, University of Toronto, Toronto ON, Canada; 81100170154, Kellogg S. Booth, University of British Columbia, Vancouver BC; "
CHI,2,http://dx.doi.org/10.1145/503376.503408,Introducing instant messaging and chat in the workplace,53,24,174,"4,419",chat; distributed teams; groupware; instant messaging; performance; technology diffusion; workflow management,8,"81100340340, James D. Herbsleb, Bell Laboratories, Lucent Technologies, Lisle, IL; 81539530556, David L. Atkins, Bell Laboratories, Lucent Technologies, Lisle, IL; 81100397726, David G. Boyer, Avaya Communications, Holmdel, NJ; 81100210197, Mark Handel, University of Michigan, Ann Arbor, MI; 81100269378, Thomas A. Finholt, University of Michigan, Ann Arbor, MI; "
CHI,2,http://dx.doi.org/10.1145/503376.503409,Hubbub: a sound-enhanced mobile instant messenger that supports awareness and opportunistic interactions,55,5,66,"1,472",awareness; design; human factors; instant messaging; mobile computing; performance; sound instant messages; wireless,8,"81100495075, Ellen Isaacs, AT&T Labs, Menlo Park, CA; 81100444640, Alan Walendowski, AT&T Labs, Menlo Park, CA; 81100282129, Dipti Ranganthan, AT&T Labs, Menlo Park, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503410,When conventions collide: the tensions of instant messaging attributed,31,8,54,"2,387",collaborative computing; computer-supported cooperative work; human factors; interaction design; measurement; sociolinguistics,8,"81100147309, Amy Voida, Georgia Tech, Atlanta, GA; 81100527449, Wendy C. Newstetter, Georgia Tech, Atlanta, GA; 81100331104, Elizabeth D. Mynatt, Georgia Tech, Atlanta, GA; "
CHI,2,http://dx.doi.org/10.1145/503376.503412,Women take a wider view,51,5,57,"1,292",3d navigation; cognitive maps; field of view; landmark knowledge; performance; theory; virtual reality,8,"81100280834, Mary Czerwinski, Microsoft Research, Redmond, WA; 81100255664, Desney S. Tan, Carnegie Mellon University, Pittsburgh, PA; 81452612822, George G. Robertson, Microsoft Research, Redmond, WA; "
CHI,2,http://dx.doi.org/10.1145/503376.503413,Evaluating the effectiveness of spatial memory in 2D and 3D physical and virtual environments,36,14,150,"2,321",3d user interfaces; design; human factors; performance; theory; virtual reality,8,"81100607754, Andy Cockburn, University of Canterbury, Christchurch, New Zealand; 81100017816, Bruce McKenzie, University of Canterbury, Christchurch, New Zealand; "
CHI,2,http://dx.doi.org/10.1145/503376.503414,Learning where to look: location learning in graphical user interfaces,22,2,58,"1,217",act-r/pm; cognitive simulation; design; display-based interaction; human factors; performance; user interfaces,8,"81100623912, Brian D. Ehret, Sun Microsystems, Inc., Palo Alto, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503416,SmartSkip: consumer level browsing and skipping of digital video content,26,1,44,"1,023",browsing; digital video; human factors; performance measures; skipping; theory; user interfaces; video,8,"81100090466, Steven M. Drucker, Microsoft Research, Redmond, WA; 81100626173, Asta Glatzer, Microsoft Research, Redmond, WA; 81100374908, Steven De Mar, Microsoft Research, Redmond, WA; 81100190928, Curtis Wong, Microsoft Research, Redmond, WA; "
CHI,2,http://dx.doi.org/10.1145/503376.503418,How knowledge workers use the web,64,8,103,"2,522",appliances; design; human factors; mobile technology; representation languages; theory; world wide web,8,"81100309669, Abigail J. Sellen, Hewlett Packard Research Labs, Bristol UK; 81100545376, Rachel Murphy, Hewlett Packard Research Labs, Bristol UK; 81547611256, Kate L. Shaw, Aston University, Aston Triangle , Birmingham UK; "
CHI,2,http://dx.doi.org/10.1145/503376.503419,Applying patterns of cooperative interaction to work (re)design: e-government and planning,10,1,32,"1,381",design; e-government; human factors; patterns of cooperative interaction; theory,8,"81100390624, David Martin, Lancaster University, UK; 81100589917, Mark Rouncefield, Lancaster University, UK; 81100335980, Ian Sommerville, Lancaster University, UK; "
CHI,2,http://dx.doi.org/10.1145/503376.503420,Separating the swarm: categorization methods for user sessions on the web,22,1,33,"1,612",classification; clustering; design; navigation; similarity measures; user categorization; user profile; web mining,8,"81100465553, Jeffrey Heer, Xerox Palo Alto Research Center, Palo Alto CA; 81100330316, Ed H. Chi, Xerox Palo Alto Research Center, Palo Alto CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503422,Popout prism: adding perceptual principles to overview+detail document interfaces,16,4,43,750,design; evaluation/methodology; human factors; overview+detail; popout effects; thumbnails,8,"81100623883, Bongwon Suh, University of Maryland, College Park, MD; 81100327302, Allison Woodruff, Xerox Palo Alto Research Center, Palo Alto, CA; 81100414889, Ruth Rosenholtz, Xerox Palo Alto Research Center, Palo Alto, CA; 81100136888, Alyssa Glass, Xerox Palo Alto Research Center, Palo Alto, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503423,"Keeping things in context: a comparative evaluation of focus plus context screens, overviews, and zooming",84,14,101,"1,846",design; evaluation/methodology; focus plus context screens; human factors; overview plus detail; peripheral vision; zooming,8,"81100137268, Patrick Baudisch, Xerox Palo Alto Research Center, Palo Alto, CA; 81423596141, Nathaniel Good, Xerox Palo Alto Research Center, Palo Alto, CA; 81100464780, Victoria Bellotti, Xerox Palo Alto Research Center, Palo Alto, CA; 81100097460, Pamela Schraedley, Xerox Palo Alto Research Center, Palo Alto, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503424,Improving focus targeting in interactive fisheye views,67,8,55,"1,442",design; evaluation/methodology; fitts' law; focus-targeting; interactive systems; speed-coupled flattening; video analysis,8,"81100275704, Carl Gutwin, University of Saskatchewan, Saskatoon, Canada; "
CHI,2,http://dx.doi.org/10.1145/503376.503426,"SCANMail: a voicemail interface that makes speech browsable, readable and searchable",40,3,28,928,"""speech as data""; design; human factors; linguistic processing; speech access; theory; what you see is almost what you hear",8,"81100318557, Steve Whittaker, AT&T Labs-Research, Florham Park, NJ; 81100166665, Julia Hirschberg, AT&T Labs-Research, Florham Park, NJ; 81100346993, Brian Amento, AT&T Labs-Research, Florham Park, NJ; 81100218855, Litza Stark, AT&T Labs-Research, Florham Park, NJ; 81100615985, Michiel Bacchiani, AT&T Labs-Research, Florham Park, NJ; 81546277456, Philip Isenhour, AT&T Labs-Research, Florham Park, NJ; 81100039671, Larry Stead, AT&T Labs-Research, Florham Park, NJ; 81100041699, Gary Zamchick, AT&T Labs-Research, Florham Park, NJ; 81100493208, Aaron Rosenberg, AT&T Labs-Research, Florham Park, NJ; "
CHI,2,http://dx.doi.org/10.1145/503376.503427,A comparative study of speech in the call center: natural language call routing vs. touch-tone menus,7,5,40,"1,338",call center; evaluation/methodology; input devices and strategies; measurement; natural language; speech user interfaces; touch-tone,8,"81100059950, Bernhard Suhm, BBN Technologies, Cambridge, MA; 81100457553, Josh Bers, BBN Technologies, Cambridge, MA; 81452607784, Dan McCarthy, BBN Technologies, Cambridge, MA; 81100306905, Barbara Freeman, BBN Technologies, Cambridge, MA; 81100255813, David Getty, BBN Technologies, Cambridge, MA; 81100408150, Katherine Godfrey, BBN Technologies, Cambridge, MA; 81329491340, Pat Peterson, BBN Technologies, Cambridge, MA; "
CHI,2,http://dx.doi.org/10.1145/503376.503428,Gestural and audio metaphors as a means of control for mobile devices,87,14,140,"2,857",auditory feedback; design; gestures; metaphor; non-speech audio; speech recognition and synthesis,8,"81100551162, Antti Pirhonen, University of Jyv&#228;skyl&#228;, Jyv&#228;skyl&#228;; Finland; 81100359199, Stephen Brewster, University of Glasgow, UK; 81100474693, Christopher Holguin, University of Glasgow, UK; "
CHI,2,http://dx.doi.org/10.1145/503376.503430,Physical programming: designing tools for children to create physical interactive environments,39,10,93,"2,021",children; educational applications; human factors; modeling and recovery of physical attributes; physical interactive environments; programming by demonstration; theory,8,"81100272823, Jaime Montemayor, University of Maryland, College Park, MD; 81100365303, Allison Druin, University of Maryland, College Park, MD; 81100450870, Allison Farber, University of Maryland, College Park, MD; 81100025684, Sante Simms, University of Maryland, College Park, MD; 81309487092, Wayne Churaman, University of Maryland, College Park, MD; 81100263935, Allison D'Amour, University of Maryland, College Park, MD; "
CHI,2,http://dx.doi.org/10.1145/503376.503431,A visual language for sketching large and complex interactive designs,17,45,110,"1,669",denim; human factors; linguistic processing; theory; user interfaces; web design,8,"81471640432, James Lin, University of California, Berkeley, CA; 81100624565, Michael Thomsen, University of Aarhus, Denmark; 81100103519, James A. Landay, University of California, Berkeley, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503433,Specifying preferences based on user history,9,6,29,873,collaborative filtering; human factors; measurement; performance; theory; visualization,8,"81100276946, Loren Terveen, AT&T Labs - Research, Florham Park, NJ; 81100456738, Jessica McMackin, AT&T Labs - Research, Florham Park, NJ; 81100346993, Brian Amento, AT&T Labs - Research, Florham Park, NJ; 81100454370, Will Hill, AT&T Labs - Research, Florham Park, NJ; "
CHI,2,http://dx.doi.org/10.1145/503376.503434,Observed behavior and perceived value of authors in usenet newsgroups: bridging the gap,27,0,23,"1,099",behavioral indicators; design; human factors; human information processing; persistent conversations; social cyberspaces,8,"81542582156, Andrew T. Fiore, Cornell University, Ithaca, NY; 81100194756, Scott Lee Tiernan, University of Washington, Seattle, WA; 81100077378, Marc A. Smith; "
CHI,2,http://dx.doi.org/10.1145/503376.503435,Diffusing information in organizational settings: learning from experience,12,0,27,726,evaluation/methodology; information sharing; measurement; recommender systems; theory; workflow management,8,"81100017597, Dave Snowdon, Xerox Research Centre Europe, Grenoble, France; 81100014484, Antonietta Grasso, Xerox Research Centre Europe, Grenoble, France; "
CHI,2,http://dx.doi.org/10.1145/503376.503437,A tangible interface for organizing information using a grid,43,10,72,"1,720",computer-supported cooperative work; design; experiment; human factors; performance; scheduling; tangible user interfaces; user interfaces,8,"81100438120, Robert J. K. Jacob, MIT Media Laboratory, Cambridge, MA and Tufts University, Medford, MA; 81100363076, Hiroshi Ishii, MIT Media Laboratory, Cambridge, MA; 81100297437, Gian Pangaro, MIT Media Laboratory, Cambridge, MA; 81100339352, James Patten, MIT Media Laboratory, Cambridge, MA; "
CHI,2,http://dx.doi.org/10.1145/503376.503438,Cognitive cubes: a tangible user interface for cognitive assessment,21,6,84,"1,432",cognitive assessment; constructional ability; human factors; performance; tangible user interfaces; three-dimensional user interfaces,8,"81339528031, Ehud Sharlin, University Alberta, Edmonton, Alberta, Canada; 81100329599, Yuichi Itoh, Osaka University, Osaka, Japan; 81100375996, Benjamin Watson, Northwestern University, Evanston, IL; 81100273942, Yoshifumi Kitamura, Osaka University, Osaka, Japan; 81100069190, Steve Sutphen, University Alberta, Edmonton, Alberta, Canada; 81100527195, Lili Liu, University Alberta, Edmonton, Alberta, Canada; "
CHI,2,http://dx.doi.org/10.1145/503376.503439,Illuminating clay: a 3-D tangible interface for landscape analysis,81,37,196,"1,765",3d laser scanner; dem; graphical user interfaces; interactive systems; measurement; physical models; theory,8,"81100561284, Ben Piper, MIT Media Laboratory, Cambridge, MA; 81100413643, Carlo Ratti, University of Cambridge, Cambridge, UK; 81100363076, Hiroshi Ishii, MIT Media Laboratory, Cambridge, MA; "
CHI,2,http://dx.doi.org/10.1145/503376.503441,Designing online banner advertisements: should we animate?,17,14,97,"2,122",animation; animations; design; internet; performance; recognition,4,"81100209051, Michelle E. Bayles, Wichita State University, Wichita, KS; "
CHI,2,http://dx.doi.org/10.1145/503376.503442,Statistical profiles of highly-rated web sites,24,0,45,"2,558",automated usability evaluation; interactive systems; performance; theory; world wide web,8,"81100296046, Melody Y. Ivory, UC Berkeley, Berkeley, CA; 81100612246, Marti A. Hearst, UC Berkeley, Berkeley, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503444,HutchWorld: clinical study of computer-mediated social support for cancer patients and their caregivers,15,1,43,"1,214",computer-mediated communication; empirical research; health; medical information systems; performance; theory,8,"81100243264, Shelly Farnham, Social Computing Group, Microsoft Research, Redmond, WA; 81100098093, Lili Cheng, Social Computing Group, Microsoft Research, Redmond, WA; 81100387775, Linda Stone, Social Computing Group, Microsoft Research, Redmond, WA; 81100420717, Melora Zaner-Godsey, Social Computing Group, Microsoft Research, Redmond, WA; 81100442250, Christopher Hibbeln, Social Computing Group, Microsoft Research, Redmond, WA; 81100405791, Karen Syrjala, Fred Hutchinson Cancer Research Center, Seattle, WA; 81100622014, Ann Marie Clark, Fred Hutchinson Cancer Research Center, Seattle, WA; 81100570897, Janet Abrams, Fred Hutchinson Cancer Research Center, Seattle, WA; "
CHI,2,http://dx.doi.org/10.1145/503376.503445,Design as a minority discipline in a software company: toward requirements for a community of practice,12,2,29,719,community of practice; design techniques; human factors; performance; software development; user studies,8,"81332517372, Michael J. Muller, IBM Research/Collaborative User Experience, Cambridge MA; 81408592702, Kenneth Carey, IBM Research/Collaborative User Experience, Cambridge MA; "
CHI,2,http://dx.doi.org/10.1145/503376.503446,"Designing for improved social responsibility, user participation and content in on-line communities",12,6,55,"1,910",collaborative computing; context; feedback; navigability; reputation; social responsibility; theory; user participation,8,"81444595062, Sean Uberoi Kelly, Microsoft Research, Redmond, WA; 81100047102, Christopher Sung, Microsoft Research, Redmond, WA; 81100243264, Shelly Farnham; "
CHI,2,http://dx.doi.org/10.1145/503376.503448,Unremarkable computing,105,28,116,"2,455",ambient intelligence; cscw; ethnography; interactive systems; performance; theory,8,"81100030964, Peter Tolmie; 81332522318, James Pycock; 81100427087, Tim Diggins; 81100609167, Allan MacLean; 81100161020, Alain Karsenty; "
CHI,2,http://dx.doi.org/10.1145/503376.503449,"Comparing paper and tangible, multimodal tools",14,0,39,946,augmented reality; interactive environments; measurement; modal logic; performance; theory,8,"81100073964, David R. McGee, Rich Interaction Environments, Pacific Northwest National Laboratory, Richland, WA; 81100149852, Philip R. Cohen, Oregon Health and Sciences University, Portland, OR; 81418595068, R. Matthews Wesson, Oregon Health and Sciences University, Portland, OR; 81100002452, Sheilah Horman, Oregon Health and Sciences University, Portland, OR; "
CHI,2,http://dx.doi.org/10.1145/503376.503450,Making sense of sensing systems: five questions for designers and researchers,96,32,226,"3,226",design; graphical user interfaces; human factors; performance; social science; ubiquitous computing,8,"81100464780, Victoria Bellotti, Xerox Palo Alto Research Center, Palo Alto, CA; 81100005666, Maribeth Back, Xerox Palo Alto Research Center, Palo Alto, CA; 81100595699, W. Keith Edwards, Xerox Palo Alto Research Center, Palo Alto, CA; 81328488487, Rebecca E. Grinter, Xerox Palo Alto Research Center, Palo Alto, CA; 81100433710, Austin Henderson, Xerox Palo Alto Research Center, Palo Alto, CA; 81100368185, Cristina Lopes; "
CHI,2,http://dx.doi.org/10.1145/503376.503452,Polyarchy visualization: visualizing multiple intersecting hierarchies,20,7,35,"1,366",3d; hierarchy; information visualization; metadirectory; polyarchy; theory; visual,8,"81452612822, George Robertson, Microsoft Research & Microsoft Corporation, Redmond, WA; 81100193517, Kim Cameron, Microsoft Research & Microsoft Corporation, Redmond, WA; 81100280834, Mary Czerwinski, Microsoft Research & Microsoft Corporation, Redmond, WA; 81100066066, Daniel Robbins, Microsoft Research & Microsoft Corporation, Redmond, WA; "
CHI,2,http://dx.doi.org/10.1145/503376.503454,Sotto voce: exploring the interplay of conversation and mobile audio spaces,60,4,42,801,auditory feedback; electronic guidebooks; human factors; interactive systems; shared audio; user interfaces,8,"81100590142, Paul M. Aoki, Xerox Palo Alto Research Center, Palo Alto, CA; 81328488487, Rebecca E. Grinter, Xerox Palo Alto Research Center, Palo Alto, CA; 81100325648, Amy Hurst, Xerox Palo Alto Research Center, Palo Alto, CA; 81343506379, Margaret H. Szymanski, Xerox Palo Alto Research Center, Palo Alto, CA; 81343506925, James D. Thornton, Xerox Palo Alto Research Center, Palo Alto, CA; 81100327302, Allison Woodruff, Xerox Palo Alto Research Center, Palo Alto, CA; "
CHI,2,http://dx.doi.org/10.1145/503376.503455,Age-old practices in the 'new world': a study of gift-giving between teenage mobile phone users,71,39,168,"3,330",cell phones; consumer products; ethnography; management; mobile phones; teenagers; theory,8,"81100517358, Alex S. Taylor, University of Surrey, Guildford, Surrey; 81452613064, Richard Harper, University of Surrey, Guildford, Surrey; "
CHI,2,http://dx.doi.org/10.1145/503376.503456,Finding others online: reputation systems for social online spaces,21,12,101,"1,686",cchat; collaborative learning; e-commerce; human factors; online gaming; recommendation systems; theory,8,"81350577066, Carlos Jensen, Georgia Institute of Technology, Atlanta, GA; 81100603640, John Davis, Microsoft Research, Redmond, WA; 81100243264, Shelly Farnham, Microsoft Research, Redmond, WA; "
CHI,2,http://dx.doi.org/10.1145/503376.503458,Groupware walkthrough: adding context to groupware usability evaluation,32,4,66,"2,097",cognitive walkthrough; groupware; human factors; mechanics of collaboration; theory; user interfaces,8,"81100573952, David Pinelle, University of Saskatchewan, Saskatoon, SK, Canada; 81100275704, Carl Gutwin, University of Saskatchewan, Saskatoon, SK, Canada; "
CHI,2,http://dx.doi.org/10.1145/503376.503459,Cognitive walkthrough for the web,43,29,278,"4,923",cognitive model; cognitive walkthrough; headings; information scent; link labels; theory; web navigation,8,"81100037866, Marilyn Hughes Blackmon, University of Colorado at Boulder, Boulder, CO; 81100564360, Peter G. Polson, University of Colorado at Boulder, Boulder, CO; 81100005173, Muneo Kitajima, National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Japan; 81100349845, Clayton Lewis, University of Colorado at Boulder, Boulder, CO; "
CHI,3,http://dx.doi.org/10.1145/642611.642613,Peephole displays: pen interaction on spatially aware handheld computers,104,47,222,"3,640",3-d drag-and-drop; graphical user interfaces; human factors; information browsers; interaction styles; mobile computing; personal information spaces; prototyping; time management,8,"81100560074, Ka-Ping Yee, University of California, Berkeley, CA; "
CHI,3,http://dx.doi.org/10.1145/642611.642615,The evolution of buildings and implications for the design of ubiquitous domestic environments,41,2,86,"2,626",design; human factors; theory; ubiquitous computing,8,"81100347821, Tom Rodden, The University of Nottingham, Nottingham, UK; 81100619971, Steve Benford, The University of Nottingham, Nottingham, UK; "
CHI,3,http://dx.doi.org/10.1145/642611.642616,Technology probes: inspiring design for and with families,266,53,438,"5,387",collaborative computing; design; evaluation/methodology; experimentation; human factors; sociology,8,"81100324121, Hilary Hutchinson, HCIL, UMIACS, CS/University of Maryland, College Park, MD; 81100236706, Wendy Mackay, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; 81100069016, Bo Westerlund, CID, NADA/Kungl Tekniska H&#246;gskolan, Stockholm, Sweden; 81100083927, Benjamin B. Bederson, HCIL, UMIACS, CS/University of Maryland, College Park, MD; 81100365303, Allison Druin, HCIL, UMIACS, CS/University of Maryland, College Park, MD; 81100041782, Catherine Plaisant, HCIL, UMIACS, CS/University of Maryland, College Park, MD; 81100644686, Michel Beaudouin-Lafon, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; 81100322683, St&#233;phane Conversy, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; 81100485377, Helen Evans, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; 81100463796, Heiko Hansen, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; 81100029990, Nicolas Roussel, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; 81100382904, Bj&#246;rn Eiderb&#228;ck, CID, NADA/Kungl Tekniska H&#246;gskolan, Stockholm, Sweden; "
CHI,3,http://dx.doi.org/10.1145/642611.642618,Design and user evaluation of a joystick-operated full-screen magnifier,3,0,40,986,design; experimentation; joystick; visually impaired users,8,"81100649048, Sri Kurniawan, UMIST, Manchester, United Kingdom; 81100194297, Alasdair King, UMIST, Manchester, United Kingdom; 81405592857, David Gareth Evans, UMIST, Manchester, United Kingdom; 81100360877, Paul Blenkhorn, UMIST, Manchester, United Kingdom; "
CHI,3,http://dx.doi.org/10.1145/642611.642619,Older adults and visual impairment: what do exposure times and accuracy tell us about performance gains associated with multimodal feedback?,13,3,81,"1,804",age related macular degeneration; design; human factors; human information processing; multimodality; user-centered design; visually impaired users,8,"81100032079, Julie A. Jacko, Georgia Institute of Technology, Atlanta, GA; 81100544081, Ingrid U. Scott, Bascom Palmer Eye Institute, Miami, FL; 81100159930, Francois Sainfort, Georgia Institute of Technology, Atlanta, GA; 81100469717, Leon Barnard, Georgia Institute of Technology, Atlanta, GA; 81100595586, Paula J. Edwards, Georgia Institute of Technology, Atlanta, GA; 81100522263, V. Kathlene Emery, Georgia Institute of Technology, Atlanta, GA; 81100135399, Thitima Kongnakorn, Georgia Institute of Technology, Atlanta, GA; 81100267268, Kevin P. Moloney, Georgia Institute of Technology, Atlanta, GA; 81100168552, Brynley S. Zorich, Georgia Institute of Technology, Atlanta, GA; "
CHI,3,http://dx.doi.org/10.1145/642611.642620,Multiple haptic targets for motion-impaired computer users,14,1,29,394,cursor control; evaluation/methodology; graphical user interfaces; human factors; measurement; performance; user-centered design,8,"81100582390, Faustina Hwang, University of Cambridge, Cambridge, UK; 81100330096, Simeon Keates, University of Cambridge, Cambridge, UK; 81100182446, Patrick Langdon, University of Cambridge, Cambridge, UK; 81100051919, P. John Clarkson, University of Cambridge, Cambridge, UK; "
CHI,3,http://dx.doi.org/10.1145/642611.642622,"Semi-public displays for small, co-located groups",60,16,97,"2,417",asynchronous interaction; bulletin boards; computer-supported cooperative work; experimentation; information visualization; ubiquitous computing,8,"81100080130, Elaine M. Huang, Georgia Institute of Technology, Atlanta, GA; 81100331104, Elizabeth D. Mynatt, Georgia Institute of Technology, Atlanta, GA; "
CHI,3,http://dx.doi.org/10.1145/642611.642623,Designing novel interactional workspaces to support face to face consultations,23,2,37,"1,410",computer-supported cooperative work; ethnography; experimentation; human factors; synchronous interaction,8,"81100347821, Tom Rodden, The University of Nottingham, Nottingham, UK; 81100173923, Yvonne Rogers, University of Sussex, Brighton, UK; 81100441911, John Halloran, University of Sussex, Brighton, UK; 81542123356, Ian Taylor, The University of Nottingham, Nottingham, UK; "
CHI,3,http://dx.doi.org/10.1145/642611.642624,Social coordination around a situated display appliance,20,3,39,962,design; evaluation/methodology; human factors; human information processing; time management,8,"81452615958, Kent O'Hara, The Appliance Studio, University Gate, Park Row, Bristol, UK; 81100036324, Mark Perry, Brunel University, Uxbridge, UK; 81536946656, Simon Lewis, The Appliance Studio, University Gate, Park Row, Bristol, UK; "
CHI,3,http://dx.doi.org/10.1145/642611.642626,Comparative effectiveness of augmented reality in object assembly,30,42,168,"2,519",augmented reality; evaluation/methodology; human factors,8,"81100640678, Arthur Tang, Michigan State Univeristy, East Lansing, MI; 81408594090, Charles Owen, Michigan State Univeristy, East Lansing, MI; 81100082338, Frank Biocca, Michigan State Univeristy, East Lansing, MI; 81100176370, Weimin Mou, Michigan State Univeristy, East Lansing, MI; "
CHI,3,http://dx.doi.org/10.1145/642611.642627,Information use of service technicians in difficult cases,5,0,23,787,design; ethnography; human factors; information filtering; search process; theory; theory and models,8,"81100323311, Yutaka Yamauchi, The Anderson School at UCLA, Los Angeles, CA; 81100590648, Jack Whalen, Palo Alto Research Center, Inc., Palo Alto, CA; 81100435652, Daniel G. Bobrow, Palo Alto Research Center, Inc., Palo Alto, CA; "
