"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357056","Ambient social tv: drawing people into a shared experience","28 ","25","192","2,060","ambient displays; human factors; miscellaneous; social television","10","81350574653, Gunnar Harboe, Motorola Labs, Schaumburg, IL, USA; 81311483921, Crysta J. Metcalf, Motorola Labs, Schaumburg, IL, USA; 81311482466, Frank Bentley, Motorola Labs, Schaumburg, IL, USA; 81100056841, Joe Tullio, Motorola Labs, Schaumburg, IL, USA; 81350581341, Noel Massey, Motorola Labs, Schaumburg, IL, USA; 81350578686, Guy Romano, Motorola Labs, Schaumburg, IL, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357057","Re-placing faith: reconsidering the secular-religious use divide in the United States and Kenya","10 ","4","213","1,002","design; miscellaneous; sketching","10","81314492849, Susan P. Wyche, Georgia Institute of Technology, Atlanta, GA, USA; 81100590142, Paul M. Aoki, Intel Research, Berkeley, CA, USA; 81328488487, Rebecca E. Grinter, Georgia Institute of Technology, Atlanta, GA, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357058","From <i>meiwaku</i> to <i>tokushita</i>!: lessons for digital money design from japan","5 ","6","254","1,251","cybercash, digital cash; digital money; e-wallets; japan; ubiquitous computing","4","81100420884, Scott Mainwaring, Intel Research, Portland, OR, USA; 81311483392, Wendy March, Intel Research, Portland, OR, USA; 81350585687, Bill Maurer, UC Irvine, Irvine, CA, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357059","Human-Currency Interaction: learning from virtual currency use in China","7 ","6","187","1,056","china; digital money; hci design; miscellaneous; trust; virtual worlds","4","81537980956, Yang Wang, University of California, Irvine, Irvine, CA, USA; 81100420884, Scott D. Mainwaring, Intel Research, Beaverton, OR, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357061","CueFlik: interactive concept learning in image search","29 ","1","78","947","cueflik; interactive concept learning; user/machine systems","10","81100142271, James Fogarty, University of Washington, Seattle, WA, USA; 81100255664, Desney Tan, Microsoft Research, Seattle, WA, USA; 81100301388, Ashish Kapoor, Microsoft Research, Seattle, WA, USA; 81100443836, Simon Winder, Microsoft Research, Seattle, WA, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357062","Knowledge in the head and on the web: using topic expertise to aid search","9 ","2","53","775","domain knowledge; expertise; information scent; query formulation; web search","10","81311482524, Geoffrey B. Duggan, University of Manchester, Manchester, United Kingdom; 81100557764, Stephen J. Payne, University of Manchester, Manchester, United Kingdom; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357063","MQSearch: image search by multi-class query","5 ","0","25","561","algorithms; design; image retrieval; prototyping; relevance feedback","4","81350572997, Yiwen Luo, The Chinese University of Hong Kong, Hong Kong, Hong Kong; 81418594973, Wei Liu, The Chinese University of Hong Kong, Hong Kong, Hong Kong; 81452603630, Jianzhuang Liu, The Chinese University of Hong Kong, Hong Kong, Hong Kong; 81452597691, Xiaoou Tang, Microsoft Research Asia, Beijing, China; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357065","AutoTopography: what can physical mementos tell us about digital memories?","40 ","12","103","1,068","autobiographical memory; digital mementos; human factors","10","81100189751, Daniela Petrelli, University of Sheffield, Sheffield, United Kingdom; 81100318557, Steve Whittaker, University of Sheffield, Sheffield, United Kingdom; 81361593530, Jens Brockmeier, University of Innsbruck, Innsbruck, Austria; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357066","Mobile multimedia presentation editor: enabling creation of audio-visual stories on mobile devices","15 ","8","83","1,234","animations; content creation; editor; human factors; mms; multimedia messages; smil; user interfaces","10","81408600326, Tero Jokela, Nokia Research Center, Tampere, Finland; 81100569515, Jaakko T. Lehikoinen, Nokia Research Center, Tampere, Finland; 81100009263, Hannu Korhonen, Nokia Research Center, Tampere, Finland; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357067","Temporal trajectories in shared interactive narratives","20 ","10","102","798","cscw; drama; games; hypermedia; mobile; pacing; sms; synchronization; time","10","81100619971, Steve Benford, University of Nottingham, Nottingham, United Kingdom; 81350583937, Gabriella Giannachi, Centre for Intermedia, Department of Drama, University of Exeter, Exeter, EX44LA, UK; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357069","Communication chains and multitasking","13 ","14","75","1,005","asynchronous interaction; computer-supported cooperative work; interaction; multitasking; workplace","10","81100108464, Norman Makoto Su, University of California, Irvine, Irvine, CA, USA; 81100279599, Gloria Mark, University of California, Irvine, Irvine, CA, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357070","Effects of intelligent notification management on users and their tasks","22 ","6","85","1,014","breakpoint; human factors; interruption; statistical models","10","81343495796, Shamsi T. Iqbal, University of Illinois at Urbana-Champaign, Urbana, IL, USA; 81100615948, Brian P. Bailey, University of Illinois at Urbana-Champaign, Urbana, IL, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357071","Attention by proxy? issues in audience awareness for webcasts to distributed groups","2 ","2","30","421","attention; e-learning; lectures; web-based interaction","4","81100651315, Jeremy Birnholtz, Cornell University, Ithaca, NY, USA; 81328489697, Clarissa Mak, University of Toronto, Toronto, ON, Canada; 81100197069, Saul Greenberg, University of Calgary, Calgary, AB, Canada; 81100448368, Ron Baecker, University of Toronto, Toronto, ON, Canada; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357072","The cost of interrupted work: more speed and stress","34 ","27","153","1,054","context; experiment; human factors; multi-tasking","4","81100279599, Gloria Mark, University of California, Irvine, Irvine, CA, USA; 81350585506, Daniela Gudith, Humboldt University, Berlin, Germany; 81350585339, Ulrich Klocke, Humboldt University, Berlin, Germany; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357074","Usability evaluation considered harmful (some of the time)","98 ","133","1,485","7,350","evaluation/methodology; interface critiques; usability testing","10","81100197069, Saul Greenberg, University of Calgary, Calgary, AB, Canada; 81452616426, Bill Buxton, Microsoft Research, Redmond, WA, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357076","Exploring the use of tangible user interfaces for human-robot interaction: a comparative study","22 ","29","181","1,611","gesture input; human-robot interaction; tangible user interface","10","81543315156, Cheng Guo, University of Calgary, Calgary, AB, Canada; 81339528031, Ehud Sharlin, University of Calgary, Calgary, AB, Canada; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357077","Precision timing in human-robot interaction: coordination of head movement and utterance","20 ","11","82","835","conversation analysis; guide robot; human-robot interaction","10","81100620449, Akiko Yamazaki, Future University-Hakodate, Saitama, Japan; 81350572857, Keiichi Yamazaki, Saitama University, Saitama, Japan; 81100082332, Yoshinori Kuno, Saitama University, Saitama, Japan; 81350586995, Matthew Burdelski, Saitama University, Saitama, Japan; 81328488988, Michie Kawashima, Saitama University, Saitama, Japan; 81100072975, Hideaki Kuzuoka, University of Tsukuba, Tsukuba, Japan; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357078","The see-Puck: a platform for exploring human-robot relationships","1 ","4","36","542","commercial robots and applications; emergent visualizations; human-robot interaction; swarm interaction","4","81309488890, Mattias Jacobsson, Viktoria Institute, G&#246;teborg, Sweden; 81350578555, Johan Bodin, Viktoria Institute, G&#246;teborg, Sweden; 81100144729, Lars Erik Holmquist, Swedish Institute of Computer Science, Kista, Sweden; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357080","Explore! possibilities and challenges of mobile learning","27 ","16","191","2,243","children; cooperative inquiry; digital augmentation; edutainment; human factors","10","81100096224, Maria F. Costabile, Universit&#224; di Bari, Bari, Italy; 81100647415, Antonella De Angeli, The University of Manchester, Manchester, United Kingdom; 81100592341, Rosa Lanzilotti, Universit&#224; di Bari, Bari, Italy; 81314481061, Carmelo Ardito, Universit&#224; di Bari, Bari, Italy; 81100302537, Paolo Buono, Universit&#224; di Bari, Bari, Italy; 81100431226, Thomas Pederson, Ume&#229; University, Ume&#229;, Sweden; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357081","Pause, predict, and ponder: use of narrative videos to improve cultural discussion and learning","5 ","4","38","464","computer uses in education; educational technology; ill-defined domains; multimedia","8","81350583567, Amy Ogan, Carnegie Mellon University, Pittsburgh, PA, USA; 81100516901, Vincent Aleven, Carnegie Mellon University, Pittsburgh, PA, USA; 81384591658, Christopher Jones, Carnegie Mellon University, Pittsburgh, PA, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357082","WallCology: designing interaction affordances for learner engagement in authentic science inquiry","3 ","4","164","886","computer uses in education; embedded phenomena; human factors; ubiquitous computing","10","81100538646, Tom Moher, University of Illinois at Chicago, Chicago, IL, USA; 81385598153, Brian Uphoff, University of Illinois at Chicago, Chicago, IL, USA; 81385595807, Darshan Bhatt, University of Illinois at Chicago, Chicago, IL, USA; 81385596012, Brenda L&#243;pez Silva, University of Illinois at Chicago, Chicago, IL, USA; 81385599502, Peter Malcolm, University of Illinois at Chicago, Chicago, IL, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357084","Measuring trust in wi-fi hotspots","7 ","1","48","869","experimentation; human factors; phishing; security; security and protection; trust","10","81100650307, Tim Kindberg, Hewlett-Packard Laboratories, Bristol, Bristol, United Kingdom; 81100041277, Eamonn O'Neill, University of Bath, Bath, UK; 81414600496, Chris Bevan, University of Bath, Bath, UK; 81100283202, Vassilis Kostakos, University of Bath, Bath, UK; 81436596733, Dana&#235; Stanton Fraser, University of Bath, Bath, UK; 81363602590, Tim Jay, University of Bath, Bath, UK; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357085","Undercover: authentication usable in front of prying eyes","21 ","12","70","807","haptic i/o; multisensory processes; security; usability","10","81547095256, Hirokazu Sasamoto, Carnegie Mellon University and Sharp Corporation, Kobe, Japan; 81100131105, Nicolas Christin, Carnegie Mellon University, Kobe, Japan; 81371593190, Eiji Hayashi; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357086","Access control by testing for shared knowledge","5 ","2","29","487","access control; human factors; privacy; user interfaces","4","81350578147, Michael Toomim, University of Washington, Seattle, WA, USA; 81350581108, Xianhang Zhang, University of Washington, Seattle, WA, USA; 81100142271, James Fogarty, University of Washington, Seattle, USA; 81100103519, James A. Landay, University of Washington, Seattle, WA, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357087","Love and authentication","12 ","2","43","697","authentication; evaluation/methodology; human factors; reset; security","4","81100035930, Markus Jakobsson, Palo Alto Research Center, Palo Alto, CA, USA; 81100118833, Erik Stolterman, Indiana University, Bloomington, IN, USA; 81100092722, Susanne Wetzel, Stevens Institute of Technology, Hoboken, NJ, USA; 81350571494, Liu Yang, Stevens Institute of Technology, Hoboken, NJ, USA; "
"CHI","08","http://dx.doi.org/10.1145/1357054.1357089","Reality-based interaction: a framework for post-WIMP interfaces","126 ","56","484","3,634","context-aware; interaction styles; next-generation; reality-based interaction; ubiquitous computing; user/machine systems","10","81100438120, Robert J.K. Jacob, Tufts University, Medford, MA, USA; 81324489772, Audrey Girouard, Tufts University, Medford, MA, USA; 81324490057, Leanne M. Hirshfield, Tufts University, Medford, MA, USA; 81328488785, Michael S. Horn, Tufts University, Medford, MA, USA; 81100216740, Orit Shaer, Tufts University, Medford, MA, USA; 81324494052, Erin Treacy Solovey, Tufts University, Medford, MA, USA; 81311481073, Jamie Zigelbaum, MIT Media Lab, Cambridge, MA, USA; "
